track_id,est_bpm,brightness,energy_rms,percussiveness
149698488,103.36,1299.78,0.49533,0.03114
249114708,129.2,2479.16,0.3251,0.07726
143356320,123.05,1742.25,0.1975,0.08257
167658411,103.36,1822.29,0.19834,0.05726
228630647,123.05,1808.9,0.26735,0.08094
120405171,123.05,2513.74,0.22366,0.09307
72826432,123.05,2448.67,0.285,0.11409
125238345,112.35,1935.94,0.26539,0.04094
119791355,123.05,2193.51,0.31504,0.06875
237534230,123.05,1825.67,0.16121,0.09263
257109900,123.05,2764.59,0.28152,0.1037
166026965,123.05,2541.49,0.34943,0.08815
114025338,123.05,2057.11,0.18053,0.06998
192357413,161.5,2248.2,0.24008,0.07877
94066325,123.05,1496.95,0.27379,0.06416
154637590,117.45,1551.28,0.21966,0.05168
196902889,161.5,1484.82,0.1741,0.03875
52988915,123.05,2368.8,0.23115,0.08911
220299535,123.05,2217.83,0.24219,0.09611
213838903,123.05,2059.78,0.20484,0.09042
213675028,123.05,2489.97,0.26469,0.09338
119865001,123.05,2083.26,0.18582,0.09115
187094300,123.05,3034.66,0.2425,0.1632
176861277,123.05,1808.34,0.20622,0.06243
80014730,123.05,2072.76,0.29309,0.07543
25542376,129.2,2371.14,0.22299,0.10389
262405018,123.05,2539.43,0.16855,0.09892
1378304,123.05,2429.43,0.24881,0.11911
180084769,129.2,2293.91,0.18608,0.10453
17168752,129.2,2570.36,0.22111,0.0937
45987030,123.05,2259.58,0.28808,0.08839
257334179,123.05,2789.93,0.23679,0.14027
179455437,117.45,2070.86,0.22359,0.08412
76707318,123.05,2898.27,0.2632,0.13402
41956795,117.45,2178.08,0.20834,0.06922
108779717,129.2,2368.91,0.33554,0.08684
87110150,117.45,2023.52,0.26401,0.0669
162012381,123.05,3002.68,0.20365,0.12835
172390931,129.2,2193.11,0.21003,0.07344
114480394,123.05,2330.81,0.26009,0.10365
265264720,123.05,1671.64,0.18089,0.06647
49613272,123.05,2791.96,0.28623,0.11046
159547405,123.05,3317.26,0.18961,0.15488
115516110,129.2,2095.04,0.2457,0.09837
260322714,123.05,2178.81,0.21012,0.09362
100412926,123.05,1762.01,0.31292,0.0601
